Title,Book Author,Narrated by,Series,Book Length,Released Date,Language,Ratings
Golden Touch,Sarina Bowen,Tim Paige,Giltmaker,7 hrs and 47 mins,07-09-24,English,5 out of 5 stars
Under Your Scars,Ariel N. Anderson,Lee Daniels,,19 hrs and 2 mins,07-09-24,English,4.5 out of 5 stars
Unprepared Healer,Jonathan Brooks,Miles Meili,Earthen Contenders,14 hrs and 47 mins,07-08-24,English,5 out of 5 stars
Kill Promise,Scott Blade,Alan Philip Ormond,Jack Widow,10 hrs and 55 mins,07-08-24,English,5 out of 5 stars
The Halls of Magic: Volume 1,"Annabelle Hawthorne,M.E. Thorne",Melisandre Verte,Halls of Magic,12 hrs and 2 mins,07-08-24,English,5 out of 5 stars
Thirst Trap,Lani Lynn Vale,Melissa Moran,Carter Brothers,5 hrs and 56 mins,07-08-24,English,5 out of 5 stars
Unleashed,Douglas E. Richards,Adam Verner,Nick Hall,12 hrs and 36 mins,07-08-24,English,Not rated yet
Task Force Hammer,Craig Alanson,R.C. Bray,Expeditionary Force,21 hrs and 40 mins,09-10-24,English,Not rated yet
Bloodlands,Mark Dawson,David Thorpe,John Milton,10 hrs and 22 mins,07-09-24,English,5 out of 5 stars
Drumindor,Michael J. Sullivan,Tim Gerard Reynolds,The Riyria Chronicles,12 hrs and 45 mins,10-21-24,English,Not rated yet
The Empress of Beasts,pirateaba,Andrea Parsneau,The Wandering Inn,30 hrs and 29 mins,09-10-24,English,Not rated yet
The Shadow Rising,Robert Jordan,Rosamund Pike,The Wheel of Time,40 hrs and 31 mins,09-17-24,English,Not rated yet
The Longest Con,Joe Conason,Steve Marvel,,10 hrs and 55 mins,07-09-24,English,Not rated yet
Play Along,Liz Tomforde,Jacob Morgan,Windy City Series,12 hrs and 32 mins,07-10-24,English,Not rated yet
State of Paradise,Laura van den Berg,Megan Tusing,,5 hrs and 33 mins,07-09-24,English,Not rated yet
Mayhem,Aaron Oster,Steve Campbell,Mayhem,18 hrs and 16 mins,07-09-24,English,5 out of 5 stars
LastRock,Phil Tucker,Nick Podehl,Immortal Great Souls,26 hrs and 2 mins,07-09-24,English,5 out of 5 stars
Practical Adept,Terry Mancour,John Lee,Spellmonger,32 hrs and 57 mins,09-24-24,English,Not rated yet
Ragnarok Awaits,Tim Steiner,Jon Brattin,Warriors of Valhalla,12 hrs and 1 min,07-08-24,English,5 out of 5 stars
The Body in the Backyard,Lucy Score,Natalie Duke,Riley Thorn,11 hrs and 56 mins,07-16-24,English,Not rated yet
Mage Academy,Kal Griffith,Christopher Harbour,Imperial Summoner,15 hrs and 21 mins,07-08-24,English,5 out of 5 stars
Security Analysis (Sixth Edition),"Benjamin Graham,David Dodd",Scott R. Pollak,,32 hrs and 22 mins,07-08-24,English,Not rated yet
Ascension,Kerberos,Jeff Hays,A Summoner Awakens,9 hrs and 37 mins,07-09-24,English,4.5 out of 5 stars
Navola,Paolo Bacigalupi,Marc Vietor,,20 hrs and 32 mins,07-09-24,English,5 out of 5 stars
The Unraveling,Vi Keeland,Courtney Patterson,,8 hrs and 45 mins,07-09-24,English,4.5 out of 5 stars
Ghost in the Deep,"J.N. Chaney,Terry Maggert",Jeffrey Kafer,Backyard Starship,9 hrs and 51 mins,09-10-24,English,Not rated yet
Pretty Monster,Sheridan Anne,Sierra Kline,,11 hrs and 35 mins,07-09-24,English,3.5 out of 5 stars
True Gretch,Gretchen Whitmer,Gretchen Whitmer,,3 hrs and 21 mins,07-09-24,English,5 out of 5 stars
Still Mine,Nadia Lee,Robert Hatchet,The Lasker Brothers,11 hrs and 8 mins,07-11-24,English,Not rated yet
Writing on Empty,Natalie Goldberg,Natalie Goldberg,,5 hrs and 18 mins,07-09-24,English,5 out of 5 stars
A Death in Cornwall,Daniel Silva,Edoardo Ballerini,Gabriel Allon,9 hrs and 24 mins,07-09-24,English,4.5 out of 5 stars
Heavy Is the Crown,"J.N. Chaney,Terry Maggert",Jeffrey Kafer,Backyard Starship,10 hrs and 5 mins,07-09-24,English,4.5 out of 5 stars
"Heretical Fishing 2: A Cozy Guide to Annoying the Cults, Outsmarting the Fish, and Alienating Oneself",Haylock Jobson,Heath Miller,Heretical Fishing,23 hrs and 36 mins,07-09-24,English,5 out of 5 stars
The Sick Man's Rage,"Amir Tsarfati,Steve Yohn",Stephen Bowlby,A Nir Tavor Mossad Thriller,10 hrs and 13 mins,11-05-24,English,Not rated yet
"2 Lies, 2 Thrones",Eric Ugland,Neil Hellegers,The Bad Guys,9 hrs and 13 mins,07-16-24,English,Not rated yet
Sanctuary,Ilona Andrews,Chris Brinkley,Roman’s Chronicles,4 hrs and 27 mins,07-30-24,English,Not rated yet
Gathering Mist,Margaret Mizushima,Nancy Wu,A Timber Creek K-9 Mystery,8 hrs and 20 mins,10-08-24,English,Not rated yet
Herald,Rob J. Hayes,Eva Kaminsky,The God Eater Saga,26 hrs and 35 mins,07-09-24,English,Not rated yet
Scythe & Sparrow,Brynne Weaver,,The Ruinous Love Trilogy,Not Yet Known,02-11-25,English,Not rated yet
Dungeon Heroes 6,"Shane Hammond,Marcus Sloss",Richard Brock,Path of Progression,10 hrs and 1 min,07-08-24,English,5 out of 5 stars
The Anti-Inflamatory Book for Women over 40,Marusya Wellness Publishing,Rachael Doolen,,4 hrs and 8 mins,07-08-24,English,5 out of 5 stars
"College Girl, Missing",Shawn Cohen,Kyle Snyder,,5 hrs and 30 mins,07-30-24,English,Not rated yet
Stone Cold Bad,"Tess Oliver,Anna Hart",C.J. Bloom,Stone Brothers,4 hrs and 36 mins,07-09-24,English,4 out of 5 stars
Put That on Everything,K.C. Mills,Winston James,,10 hrs and 46 mins,07-09-24,English,5 out of 5 stars
Gild,Raven Kennedy,Anthony Palmini,The Plated Prisoner Series,9 hrs and 16 mins,07-09-24,English,4.5 out of 5 stars
The Primal Hunter 9: A LitRPG Adventure,Zogarth,Travis Baldree,The Primal Hunter,20 hrs and 23 mins,07-02-24,English,5 out of 5 stars
The Last Ship,Nicholas Sansbury Smith,Mark Boyett,Galaxy in Flames,12 hrs and 41 mins,07-09-24,English,4.5 out of 5 stars
Protocols,Andrew D. Huberman Ph.D.,Andrew D. Huberman Ph.D.,,10 hrs,04-22-25,English,Not rated yet
Dead Med,Freida McFadden,Patricia Santomasso,Prescription: Murder,10 hrs and 33 mins,08-20-24,English,Not rated yet
We Are Experiencing a Slight Delay,Gary Janetti,Gary Janetti,,4 hrs and 33 mins,07-09-24,English,5 out of 5 stars
For the Love of Kane,Ames Mills,Jameson Adams,,10 hrs and 54 mins,07-09-24,English,5 out of 5 stars
Hitchhiking with Prophets,Chad Bird,Chad Bird,,5 hrs and 5 mins,07-09-24,English,5 out of 5 stars
The Burning Rooms,Anni Taylor,Caroline Lee,Tallman's Valley Detectives,11 hrs and 54 mins,07-09-24,English,5 out of 5 stars
He Who Fights with Monsters 11: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Heath Miller,He Who Fights with Monsters,28 hrs and 36 mins,07-23-24,English,Not rated yet
Never Enough,Andrew Wilkinson,Luke Daniels,,8 hrs and 45 mins,07-09-24,English,4 out of 5 stars
The Child Monster,V.A. Lewis,Tess Irondale,Salvos,10 hrs and 32 mins,07-09-24,English,5 out of 5 stars
Sunrise on the Reaping,Suzanne Collins,,Hunger Games,Not Yet Known,03-18-25,English,Not rated yet
The Family Experiment,John Marrs,Clare Corbett,,10 hrs and 59 mins,07-09-24,English,4.5 out of 5 stars
The Briar Club,Kate Quinn,Saskia Maarleveld,,15 hrs and 3 mins,07-09-24,English,5 out of 5 stars
Frigid Magic,Bruce Sentar,Jessica Threet,Ard's Oath,15 hrs and 24 mins,07-09-24,English,5 out of 5 stars
One Generation Away,Brilyn Hollyhand,Brilyn Hollyhand,,4 hrs and 51 mins,07-09-24,English,Not rated yet
The Summer Pact,Emily Giffin,JD Jackson,,10 hrs and 14 mins,07-09-24,English,4 out of 5 stars
I Haven’t Been Entirely Honest with You,Miranda Hart,,,Not Yet Known,10-10-24,English,Not rated yet
Will Leave the Galaxy for Good,Yahtzee Croshaw,Yahtzee Croshaw,Jacques McKeown,9 hrs and 50 mins,04-04-24,English,5 out of 5 stars
The Reluctant Superhero Book 3,D. Levesque,Alex Matthews,Reluctant Superhero,8 hrs and 27 mins,07-08-24,English,5 out of 5 stars
A Refiner's Fire,Donna Leon,David Colacci,A Commissario Brunetti Mystery,9 hrs and 28 mins,07-09-24,English,Not rated yet
The Lost Victim,Robert Bryndza,Jan Cramer,Kate Marshall,8 hrs and 18 mins,07-11-24,English,Not rated yet
Onyx Storm,Rebecca Yarros,,The Empyrean,14 hrs and 15 mins,01-21-25,English,Not rated yet
Wind and Truth,Brandon Sanderson,Kate Reading,The Stormlight Archive,55 hrs,12-06-24,English,Not rated yet
Dungeon Life 2: An Isekai LitRPG,Khenal,Michael Gallagher,Dungeon Life,14 hrs,07-09-24,English,5 out of 5 stars
Justice,Lark Taylor,Will M. Watt,Damned Connections,12 hrs and 18 mins,07-09-24,English,5 out of 5 stars
Toll of Honor,David Weber,Allyson Johnson,Honor Harrington,17 hrs and 45 mins,11-26-24,English,Not rated yet
Mob Sorcery 2,K.D. Robertson,Stephanie Savannah,Mob Sorcery,15 hrs and 52 mins,07-09-24,English,5 out of 5 stars
"Heretical Fishing 3: A Cozy Guide to Annoying the Cults, Outsmarting the Fish, and Alienating Oneself",Haylock Jobson,Heath Miller,Heretical Fishing,17 hrs and 46 mins,11-12-24,English,Not rated yet
"Bitten by the Fae: Midnight Fae, Books 1- 4",Lexi C. Foss,Sarah Puckett,Midnight Fae Academy,34 hrs and 24 mins,07-08-24,English,Not rated yet
Left Behind,Sharon Sala,Traci Odom,"Jubilee, Kentucky",10 hrs and 16 mins,07-09-24,English,4.5 out of 5 stars
Black Pill,Elle Reeve,Elle Reeve,,8 hrs and 28 mins,07-09-24,English,4.5 out of 5 stars
Hostile Takeover,Franklin Horton,Kevin Pierce,The Mad Mick Series,8 hrs and 41 mins,06-24-24,English,5 out of 5 stars
Wildest Dreams,Kristen Proby,Jason Clarke,The Wilds of Montana,9 hrs and 13 mins,07-18-24,English,Not rated yet
The Burning,Linda Castillo,Kathleen McInerney,Kate Burkholder Series,9 hrs and 31 mins,07-09-24,English,5 out of 5 stars
Bury Your Gays,Chuck Tingle,André Santana,,10 hrs and 11 mins,07-09-24,English,Not rated yet
Imminent,Luis Elizondo,Luis Elizondo,,12 hrs,08-20-24,English,Not rated yet
Challenger,Seth Ring,Eric Jason Martin,Tower,14 hrs,11-12-24,English,Not rated yet
The Black Bird of Chernobyl,Ann McMan,Christine Williams,,8 hrs and 22 mins,07-09-24,English,5 out of 5 stars
Big Dating Energy,"Jeff Guenther,Kate Happ",Jeff Guenther,,7 hrs and 20 mins,07-09-24,English,5 out of 5 stars
Rogue Ascension 4: A Progression LitRPG,Hunter Mythos,André Santana,Rogue Ascension,13 hrs and 41 mins,07-09-24,English,5 out of 5 stars
Assassins' Academy,Scott Baron,Eric Bryan Moore,The Book of Bawb,12 hrs and 52 mins,07-10-24,English,Not rated yet
So This Is War,Meghan Quinn,Emma Wilder,The Vancouver Agitators,13 hrs and 45 mins,06-25-24,English,5 out of 5 stars
The Spellshop,Sarah Beth Durst,Caitlin Davies,,12 hrs and 11 mins,07-09-24,English,5 out of 5 stars
Nemesis,Gregg Hurwitz,Scott Brick,An Orphan X Novel,15 hrs,02-11-25,English,Not rated yet
The Coin,Yasmin Zaher,Sarah Agha,,6 hrs and 3 mins,07-09-24,English,Not rated yet
Beware of Chicken 4: A Xianxia Cultivation Novel,Casualfarmer,Travis Baldree,Beware of Chicken,30 hrs and 8 mins,12-17-24,English,Not rated yet
The Story Collector,Evie Woods,Heather O’Sullivan,,9 hrs and 26 mins,07-18-24,English,Not rated yet
Strong and Wild,Sloane St. James,Alex Kydd,Lakes Hockey Series,9 hrs and 56 mins,07-09-24,English,4.5 out of 5 stars
Unit X,"Raj M. Shah,Christopher Kirchhoff",Sean Patrick Hopkins,,9 hrs and 37 mins,07-09-24,English,5 out of 5 stars
Magic Rises (Dramatized Adaptation),Ilona Andrews,full cast,Kate Daniels,11 hrs,08-30-24,English,Not rated yet
The Shadow of Dread,T.C. Edge,Steven Brand,The Bladeborn Saga,40 hrs and 46 mins,10-29-24,English,Not rated yet
Gilded Blood,Rachel Rener,Tara Novie,Gilded Blood,40 hrs and 5 mins,07-09-24,English,Not rated yet
Democracy in Retrograde,"Sami Sage,Emily Amick",Nikki Massoud,,4 hrs and 55 mins,07-09-24,English,Not rated yet
Viper,Suzanne Wright,Cat Doucette,The Dark in You,10 hrs,07-18-24,English,Not rated yet
The Queering of the American Child,"Logan Lancing,James Lindsay",James Lindsay,,6 hrs and 48 mins,07-09-24,English,Not rated yet
The Game Changer,Lana Ferguson,Zachary Webber,,10 hrs and 56 mins,07-09-24,English,5 out of 5 stars
The Hedge Wizard 4,Alex Maher,Tim Gerard Reynolds,The Hedge Wizard,25 hrs and 16 mins,08-13-24,English,Not rated yet
The Masterpiece Price,Donesa Walker,Sandy Carpenter,Reflections of God's Love,3 hrs and 43 mins,07-08-24,English,5 out of 5 stars
Sunsets at the Beach House,Maggie Miller,Erica Sullivan,Diamond Beach,7 hrs and 55 mins,07-09-24,English,Not rated yet
Troyland,Jan Stryvant,Christopher Boucher,Valens Heritage,7 hrs and 56 mins,08-06-24,English,Not rated yet
Sylver Seeker 4,Kennit Kenway,Garrett Michael Brown,Sylver Seeker,20 hrs and 50 mins,07-10-24,English,Not rated yet
From Blood and Ash (Part 1 of 2) (Dramatized Adaptation),Jennifer L. Armentrout,full cast,Blood and Ash,7 hrs,07-24-24,English,Not rated yet
Judicator Jane 3,Brian Rouleau,Angela Clark,Judicator Jane,14 hrs and 53 mins,07-08-24,English,Not rated yet
Fighting Mr. Knight,Rosa Lucas,Kitty Kelly,The London Mister,10 hrs and 19 mins,07-08-24,English,Not rated yet
Devourer of Men,Nikki St. Crowe,Shane East,,5 hrs and 19 mins,07-05-24,English,5 out of 5 stars
India,John Keay,Mike Fraser,,32 hrs and 57 mins,07-09-24,English,Not rated yet
Demon Mage: Book 1,D. Levesque,Kat Riley,Demon Mage,10 hrs and 6 mins,07-08-24,English,4.5 out of 5 stars
Royal Blooded 3,F.G. Smith,Andrew Pond,Royal Blooded,13 hrs and 46 mins,07-08-24,English,5 out of 5 stars
Lady of Doom and Devotion,Eva Chase,Michelle Sparks,Rites of Possession,13 hrs and 39 mins,07-08-24,English,Not rated yet
The Treasured One,Hannah Levin,Mollie Stark,,12 hrs and 1 min,07-09-24,English,5 out of 5 stars
Mystics and Mayhem: The Standalone Novels,Heather Renee,Michelle Sparks,Mystics and Mayhem,13 hrs and 45 mins,07-09-24,English,Not rated yet
Isekai Emperor 2,"Michael Dalton,Adam Lance",Mandy McCullough,Isekai Emperor,12 hrs and 51 mins,07-08-24,English,5 out of 5 stars
The Sawmill Book Club,Carolyn Brown,Brittany Pressley,,7 hrs and 42 mins,07-09-24,English,5 out of 5 stars
Death in a Scottish Castle,Lydia Travers,Helen McAlpine,The Scottish Ladies Detective Agency,10 hrs and 10 mins,07-11-24,English,Not rated yet
The Songbird and the Heart of Stone,Carissa Broadbent,Amanda Leigh Cobb,Crowns of Nyaxia,15 hrs and 33 mins,11-19-24,English,Not rated yet
The Sinner,Dannika Dark,Nicole Poole,Black Arrowhead,11 hrs and 4 mins,09-03-24,English,Not rated yet
The Black Bird Oracle,Deborah Harkness,Jennifer Ikeda,All Souls Series,17 hrs and 3 mins,07-16-24,English,Not rated yet
Bonded in Death,J. D. Robb,Susan Ericksen,In Death,10 hrs and 30 mins,02-04-25,English,Not rated yet
On a Sea of Glass,"Tad Fitch,J. Kent Layton,Bill Wormstedt,George Behe - introduction",Tom Perkins,,32 hrs and 22 mins,07-09-24,English,Not rated yet
The Love Conspiracy,J.J. Arias,Kingsley Rose,,11 hrs and 58 mins,07-09-24,English,5 out of 5 stars
Autopsy of a Fairytale,Nicole Scarano,Cassandra Campbell,Autopsy of a Fairytale,7 hrs and 12 mins,07-09-24,English,5 out of 5 stars
The Color of Everything,Cory Richards,Cory Richards,,11 hrs and 19 mins,07-09-24,English,Not rated yet
Bitter House,Kiersten Modglin,Lauren Ezzo,,5 hrs and 51 mins,07-09-24,English,4.5 out of 5 stars
JFK Jr.,"RoseMarie Terenzio,Liz McNeil",Michael David Axtell,,14 hrs and 54 mins,07-16-24,English,Not rated yet
We Refuse,Kellie Carter Jackson,Kellie Carter Jackson,,9 hrs and 11 mins,07-09-24,English,Not rated yet
The Secret Language of the Body,"Jennifer Mann,Karden Rabin",Jennifer Mann,,8 hrs and 39 mins,07-09-24,English,Not rated yet
Other Rivers,Peter Hessler,Peter Hessler,,13 hrs and 31 mins,07-09-24,English,Not rated yet
Legendary,"Dick LeBeau,Scott Brown,George Von Benko",Dick Lebeau,,7 hrs and 39 mins,07-09-24,English,Not rated yet
The Stories Whiteness Tells Itself,David Mura,David Lee Huynh,,10 hrs and 25 mins,07-09-24,English,Not rated yet
Pattern Breakers,"Mike Maples Jr,Peter Ziebelman",Mike Maples Jr,,7 hrs and 20 mins,07-09-24,English,Not rated yet
Yesterday's Trail,Brad Dennison,J. Rodney Turner,The McCabes,12 hrs and 18 mins,07-09-24,English,5 out of 5 stars
House of Sky and Breath (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,David Cui Cui,Crescent City,12 hrs and 15 mins,07-25-24,English,Not rated yet
Crypto Confidential,Nathaniel Eliason,Nathaniel Eliason,,8 hrs and 1 min,07-09-24,English,5 out of 5 stars
Master of the Manor 1,Dante King,Patrick Dubois,Master of the Manor,10 hrs,07-08-24,English,5 out of 5 stars
Mr. Wilson's Neighborhood,Jerry Boyd,Chris Ciulla,Bob and Nikki,8 hrs and 55 mins,08-06-24,English,Not rated yet
"Shocks, Crises, and False Alarms","Philipp Carlsson-Szlezak,Paul Swartz",Jon Vertullo,,9 hrs and 8 mins,07-09-24,English,Not rated yet
The Book of Elsewhere,"Keanu Reeves,China Miéville",Allan Corduner,,13 hrs,07-23-24,English,Not rated yet
The Mirror,Nora Roberts,Brittany Pressley,The Lost Bride Trilogy,14 hrs and 24 mins,11-19-24,English,Not rated yet
The Bright Sword,Lev Grossman,Nicholas Guy Smith,,23 hrs and 10 mins,07-16-24,English,Not rated yet
The Heart in Winter,Kevin Barry,Kevin Barry,,5 hrs and 54 mins,07-09-24,English,Not rated yet
Red Winter: The Complete Trilogy,Annette Marie,Emily Woo Zeller,Red Winter,36 hrs and 40 mins,07-09-24,English,Not rated yet
Shameless,Brian Tyler Cohen,Brian Tyler Cohen,,5 hrs,08-13-24,English,Not rated yet
Dragon Born,Donna Grant,Antony Ferguson,Dragon Kings,9 hrs and 5 mins,07-09-24,English,Not rated yet
Madoff,Richard Behar,Michael David Axtell,,13 hrs and 58 mins,07-09-24,English,5 out of 5 stars
Lazy Love,Keion Henderson,Keion Henderson,,7 hrs and 53 mins,08-06-24,English,Not rated yet
Collapse,Sean Oswald,Travis Baldree,Welcome to the Multiverse,12 hrs and 51 mins,07-30-24,English,Not rated yet
Faker,Gordon Korman,Christopher Gebauer,,5 hrs and 53 mins,07-09-24,English,5 out of 5 stars
Bright Lights and Summer Nights,Kat Singleton,Savannah Peachwood,Black Tie Billionaires,13 hrs and 20 mins,08-20-24,English,Not rated yet
Iron Flame (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,Laura C. Harris,The Empyrean,9 hrs and 27 mins,07-12-24,English,Not rated yet
The End of the World According to Jesus of Nazareth,Jeff Kinley,Brian Telestai,,9 hrs,07-09-24,English,Not rated yet
Red Dead's History,Tore C. Olsson,Roger Clark,,10 hrs and 28 mins,08-06-24,English,Not rated yet
Alpha,Aleron Kong,Pavi Proczko,,14 hrs and 1 min,06-25-24,English,4.5 out of 5 stars
The Butcher Game,Alaina Urquhart,,Dr. Wren Muller,Not Yet Known,09-17-24,English,Not rated yet
Lost Boy,Hannah Gray,Heather Firth,The Puck Boys of Brooks University,10 hrs and 17 mins,07-09-24,English,5 out of 5 stars
Rift in the Soul,Faith Hunter,Khristine Hvam,Soulwood,15 hrs and 21 mins,06-25-24,English,5 out of 5 stars
Take Me Home,Melanie Sweeney,Brittany Pressley,,10 hrs and 27 mins,07-09-24,English,4 out of 5 stars
Fall with Me,Becka Mack,Alex Kydd,Playing for Keeps,16 hrs and 21 mins,07-30-24,English,Not rated yet
The Art of Generative AI for Beginners,Nicholas Dempsey,Braydon Hudson,,5 hrs and 7 mins,07-08-24,English,5 out of 5 stars
To the Gorge,Emily Halnon,Emily Halnon,,5 hrs and 47 mins,07-09-24,English,5 out of 5 stars
Summer Romance,Annabel Monaghan,Kristen DiMercurio,,8 hrs and 27 mins,06-04-24,English,4.5 out of 5 stars
Original Love,Henry Shukman,Henry Shukman,,11 hrs and 42 mins,07-09-24,English,Not rated yet
Better than Carrots or Sticks,"Dominique Smith,Douglas Fisher,Nancy Frey",Abby Craden,,4 hrs and 34 mins,07-08-24,English,Not rated yet
Targeted: Beirut,"Jack Carr,James M. Scott",Ray Porter,,13 hrs,09-24-24,English,Not rated yet
Frames of Mind,Howard E. Gardner,,,15 hrs and 30 mins,12-03-24,English,Not rated yet
Hell Divers XII: Heroes,Nicholas Sansbury Smith,R. C. Bray,Hell Divers,13 hrs and 30 mins,08-06-24,English,Not rated yet
The Grey Wolf,Louise Penny,Jean Brassard,Chief Inspector Gamache/Three Pines,12 hrs and 51 mins,10-29-24,English,Not rated yet
Wet Screams,Hank Edwards,Zachary Zaba,Critter Catchers: Level Up,6 hrs and 52 mins,07-08-24,English,5 out of 5 stars
To Die For,David Baldacci,,The 6:20 Man,12 hrs,11-12-24,English,Not rated yet
The Accidental Siren,"Lexi Blake,Sophie Oak",Kitty Bang,Texas Sirens: Legacy,13 hrs and 50 mins,07-05-24,English,4.5 out of 5 stars
Confessions of the Dead,"James Patterson,J. D. Barker",Will Collyer,,11 hrs and 58 mins,07-09-24,English,Not rated yet
We Who Wrestle with God,Jordan B. Peterson,Jordan B. Peterson,,13 hrs,11-19-24,English,Not rated yet
Horror Movie,Paul Tremblay,Ari Fliakos,,7 hrs and 23 mins,06-11-24,English,4 out of 5 stars
The Way We Touch,Tia Louise,Connor Crais,Bradford Boys,8 hrs and 56 mins,07-05-24,English,5 out of 5 stars
Dirty Pleasures,Kenya Wright,Lacy Laurel,The Lion and the Mouse Series,13 hrs and 58 mins,07-09-24,English,5 out of 5 stars
